Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
180.0,240.0,75.0,100.0,0.020833333333333304,0.8333333333333328,0.6249999999999999,0.4374999999999999
LD1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,04:00:00,13.10.2023,8.0,8.0,8.0,-
Box 2,1,04:00:01,13.10.2023,8.0,8.0,8.0,-
Box 3,1,04:00:02,13.10.2023,8.0,8.0,8.0,-
Box 4,1,04:00:03,13.10.2023,8.0,8.0,8.0,-
LD2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,04:00:00,13.10.2023,4.0,4.0,4.0,-
Box 2,1,04:00:01,13.10.2023,4.0,4.0,4.0,-
Box 3,1,04:00:02,13.10.2023,4.0,4.0,4.0,-
Box 4,1,04:00:03,13.10.2023,4.0,4.0,4.0,-
LK1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,04:00:00,13.10.2023,8.0,8.0,8.0,-
Box 2,1,04:00:01,13.10.2023,8.0,8.0,8.0,-
Box 3,1,04:00:02,13.10.2023,8.0,8.0,8.0,-
Box 4,0,-,-,-,-,-,-
LK2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,04:00:00,13.10.2023,4.0,4.0,4.0,-
Box 2,1,04:00:01,13.10.2023,4.0,4.0,4.0,-
Box 3,1,04:00:02,13.10.2023,4.0,4.0,4.0,-
Box 4,1,04:00:03,13.10.2023,4.0,4.0,4.0,-
LG1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,04:00:00,13.10.2023,8.0,8.0,8.0,-
Box 2,1,04:00:01,13.10.2023,8.0,8.0,8.0,-
Box 3,1,04:00:02,13.10.2023,8.0,8.0,8.0,-
Box 4,1,04:00:03,13.10.2023,8.0,8.0,8.0,-
LG3,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,04:00:00,13.10.2023,4.0,4.0,4.0,-
Box 2,1,04:00:01,13.10.2023,4.0,4.0,4.0,-
Box 3,1,04:00:02,13.10.2023,4.0,4.0,4.0,-
Box 4,1,04:00:03,13.10.2023,4.0,4.0,4.0,-
LG2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,04:00:00,13.10.2023,8.0,8.0,8.0,-
Box 2,1,04:00:01,13.10.2023,8.0,8.0,8.0,-
Box 3,1,04:00:02,13.10.2023,8.0,8.0,8.0,-
Box 4,1,04:00:03,13.10.2023,8.0,8.0,8.0,-
LG4,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,04:00:00,13.10.2023,4.0,4.0,4.0,-
Box 2,1,04:00:01,13.10.2023,4.0,4.0,4.0,-
Box 3,1,04:00:02,13.10.2023,4.0,4.0,4.0,-
Box 4,0,-,-,-,-,-,-
