Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
0,0,,,,0,0,0
LD1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,03:00:00,13.10.2023,8.0,8.0,8.0,-
Box 2,1,03:00:01,13.10.2023,8.0,8.0,8.0,-
Box 3,0,-,-,-,-,-,-
Box 4,0,-,-,-,-,-,-
Box 5,0,-,-,-,-,-,-
Box 6,0,-,-,-,-,-,-
Box 7,0,-,-,-,-,-,-
Box 8,0,-,-,-,-,-,-
LD2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,03:00:00,13.10.2023,4.0,4.0,4.0,-
Box 2,1,03:00:01,13.10.2023,4.0,4.0,4.0,-
Box 3,0,-,-,-,-,-,-
Box 4,0,-,-,-,-,-,-
Box 5,0,-,-,-,-,-,-
Box 6,0,-,-,-,-,-,-
Box 7,0,-,-,-,-,-,-
Box 8,0,-,-,-,-,-,-
LK1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,03:00:00,13.10.2023,8.0,8.0,8.0,-
Box 2,1,03:00:01,13.10.2023,8.0,8.0,8.0,-
Box 3,0,-,-,-,-,-,-
Box 4,0,-,-,-,-,-,-
Box 5,0,-,-,-,-,-,-
Box 6,0,-,-,-,-,-,-
Box 7,0,-,-,-,-,-,-
Box 8,0,-,-,-,-,-,-
LK2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,03:00:00,13.10.2023,4.0,4.0,4.0,-
Box 2,1,03:00:01,13.10.2023,4.0,4.0,4.0,-
Box 3,1,03:00:02,13.10.2023,4.0,4.0,4.0,-
Box 4,1,03:00:03,13.10.2023,4.0,4.0,4.0,-
Box 5,1,03:00:04,13.10.2023,4.0,4.0,4.0,-
Box 6,0,-,-,-,-,-,-
Box 7,0,-,-,-,-,-,-
Box 8,0,-,-,-,-,-,-
LG1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,03:00:00,13.10.2023,8.0,8.0,8.0,-
Box 2,1,03:00:01,13.10.2023,8.0,8.0,8.0,-
Box 3,1,03:00:02,13.10.2023,8.0,8.0,8.0,-
Box 4,0,-,-,-,-,-,-
Box 5,0,-,-,-,-,-,-
Box 6,0,-,-,-,-,-,-
Box 7,0,-,-,-,-,-,-
Box 8,0,-,-,-,-,-,-
LG2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,03:00:00,13.10.2023,8.0,8.0,8.0,-
Box 2,1,03:00:01,13.10.2023,8.0,8.0,8.0,-
Box 3,1,03:00:02,13.10.2023,8.0,8.0,8.0,-
Box 4,1,03:00:03,13.10.2023,8.0,8.0,8.0,-
Box 5,0,-,-,-,-,-,-
Box 6,0,-,-,-,-,-,-
Box 7,0,-,-,-,-,-,-
Box 8,0,-,-,-,-,-,-
LG3,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,03:00:00,13.10.2023,4.0,4.0,4.0,-
Box 2,1,03:00:01,13.10.2023,4.0,4.0,4.0,-
Box 3,0,-,-,-,-,-,-
Box 4,0,-,-,-,-,-,-
Box 5,0,-,-,-,-,-,-
Box 6,0,-,-,-,-,-,-
Box 7,0,-,-,-,-,-,-
Box 8,0,-,-,-,-,-,-
LG4,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,03:00:00,13.10.2023,4.0,4.0,4.0,-
Box 2,1,03:00:01,13.10.2023,4.0,4.0,4.0,-
Box 3,1,03:00:02,13.10.2023,4.0,4.0,4.0,-
Box 4,1,03:00:03,13.10.2023,4.0,4.0,4.0,-
Box 5,0,-,-,-,-,-,-
Box 6,0,-,-,-,-,-,-
Box 7,0,-,-,-,-,-,-
Box 8,0,-,-,-,-,-,-
