date,pick_time,put_time,origin_lane,target_lane,duration,variant,menge,exit_code
13.10.2023,13:08:08,14:07:36,,,01:00:32,FK7,4,0
13.10.2023,15:00:01,15:10:23,,,00:10:22,FK4,4,0
13.10.2023,16:00:00,16:20:00,,,00:20:00,FK4,4,0
13.10.2023,17:00:00,17:30:00,,,00:30:00,FK4,4,0
13.10.2023,12:00:00,12:10:05,,,00:10:05,FK5,4,0
13.10.2023,15:00:05,16:00:01,,,00:59:56,FK6,4,0
13.10.2023,12:00:06,12:30:02,,,00:29:56,FK6,4,0
13.10.2023,12:00:07,12:20:00,,,00:19:53,FK4,4,0
13.10.2023,13:00:00,13:10:00,,,00:10:00,FK1,4,0
13.10.2023,14:00:01,14:12:00,,,00:11:59,FK2,4,0
13.10.2023,15:00:00,15:02:03,,,00:02:03,FK3,4,0
13.10.2023,16:00:00,16:01:00,,,00:01:00,FK5,4,0
13.10.2023,16:00:00,16:01:00,,,00:01:00,FK5,4,0
13.10.2023,13:00:00,13:03:03,,,00:03:03,FK4,4,0
13.10.2023,13:00:00,13:04:04,,,00:04:04,FK5,4,0
13.10.2023,14:00:00,14:01:01,,,00:01:01,FK5,4,0
13.10.2023,14:00:00,14:03:03,,,00:03:03,FK2,4,0
13.10.2023,15:00:03,15:07:07,,,00:07:04,FK7,4,0
13.10.2023,16:00:07,17:01:01,,,01:00:54,FK7,4,0
13.10.2023,17:00:00,17:04:05,,,00:04:05,FK4,4,0
13.10.2023,12:03:04,13:01:00,,,00:57:56,FK8,4,0
13.10.2023,11:00:00,11:03:00,,,00:03:00,FK3,4,0
13.10.2023,11:00:00,11:03:04,,,00:03:04,FK2,4,0
13.10.2023,11:00:00,13:00:00,,,02:00:00,FK3,4,0
13.10.2023,10:00:00,10:13:01,,,00:13:01,FK1,4,0
13.10.2023,11:01:00,11:03:04,,,00:02:04,FK3,4,0
13.10.2023,10:00:00,10:03:05,,,00:03:05,FK3,4,0
13.10.2023,10:00:01,10:04:07,,,00:04:06,FK2,4,0
13.10.2023,09:07:07,09:08:05,,,00:00:58,FK4,4,0
13.10.2023,09:08:02,09:10:02,,,00:02:00,FK7,4,0
13.10.2023,10:00:00,10:15:03,,,00:15:03,FK1,4,0
13.10.2023,10:00:01,12:03:04,,,02:03:03,FK3,4,0
16.10.2023,14:33:08,14:33:13,,,00:00:05,FK2,4,0
