Lane,Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
FB1,0,0,0,0,0,0,0,0
FB2,0,0,0,0,0,0,0,0
FK1,0,0,0,0,0,0,0,0
FK2,0,0,0,0,0,0,0,0
FK3,0,0,0,0,0,0,0,0
FK4,0,0,0,0,0,0,0,0
FK5,0,0,0,0,0,0,0,0
FK6,0,0,0,0,0,0,0,0
FK7,0,0,0,0,0,0,0,0
FK8,0,0,0,0,0,0,0,0
LD1,0,0,0,0,0,0,0,0
LD2,0,0,0,0,0,0,0,0
LG1,0,0,0,0,0,0,0,0
LG2,0,0,0,0,0,0,0,0
LG3,0,0,0,0,0,0,0,0
LG4,0,0,0,0,0,0,0,0
LK1,0,0,0,0,0,0,0,0
LK2,0,0,0,0,0,0,0,0
