Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
-,-,-,-,-,-,-,-
FB1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
FK1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
FK5,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
FK2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
FK6,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
FB2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
FK3,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
FK7,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
FK4,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
FK8,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
