Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
-,-,-,-,-,-,-,-
LD2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
FB2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
LG3,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
LG4,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
LK2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
LD1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
FB1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
LG1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
LG2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
LK1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
FK1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
Box 5,-,-,-,-,-,-,-
Box 6,-,-,-,-,-,-,-
Box 7,-,-,-,-,-,-,-
Box 8,-,-,-,-,-,-,-
FK2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
Box 5,-,-,-,-,-,-,-
Box 6,-,-,-,-,-,-,-
Box 7,-,-,-,-,-,-,-
Box 8,-,-,-,-,-,-,-
FK3,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
Box 5,-,-,-,-,-,-,-
Box 6,-,-,-,-,-,-,-
Box 7,-,-,-,-,-,-,-
Box 8,-,-,-,-,-,-,-
FK4,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
Box 5,-,-,-,-,-,-,-
Box 6,-,-,-,-,-,-,-
Box 7,-,-,-,-,-,-,-
Box 8,-,-,-,-,-,-,-
FK5,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
Box 5,-,-,-,-,-,-,-
Box 6,-,-,-,-,-,-,-
Box 7,-,-,-,-,-,-,-
Box 8,-,-,-,-,-,-,-
FK6,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
Box 5,-,-,-,-,-,-,-
Box 6,-,-,-,-,-,-,-
Box 7,-,-,-,-,-,-,-
Box 8,-,-,-,-,-,-,-
FK7,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
Box 2,-,-,-,-,-,-,-
Box 3,-,-,-,-,-,-,-
Box 4,-,-,-,-,-,-,-
Box 5,-,-,-,-,-,-,-
Box 6,-,-,-,-,-,-,-
Box 7,-,-,-,-,-,-,-
Box 8,-,-,-,-,-,-,-
FK8,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,-,-,-,-,-,-,-
