Besetzt,ID,Date_in,Timestamp_in,Date_out,Timestamp_out
False,20,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,21,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,22,27/Oct/2023,13:00:02,27/Oct/2023,13:30:02
False,58,27/Oct/2023,13:00:00,27/Oct/2023,13:30:00
False,59,27/Oct/2023,13:00:01,27/Oct/2023,13:30:01
False,60,27/Oct/2023,13:00:02,27/Oct/2023,13:30:02
False,61,27/Oct/2023,13:00:03,27/Oct/2023,13:30:03
False,62,27/Oct/2023,13:00:04,27/Oct/2023,13:30:04
True,83,27/Oct/2023,13:00:00,,
True,84,27/Oct/2023,13:00:01,,
True,85,27/Oct/2023,13:00:02,,
True,86,27/Oct/2023,13:00:03,,
