Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
48.0,80.0,53,100,0.02083333333333331,0.29583333333333317,0.1599999999999999,0.0
FB1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,13:00:00,27.10.2023,8.0,8.0,8.0,-
Box 2,1,13:00:01,27.10.2023,8.0,8.0,8.0,-
Box 3,1,13:00:02,27.10.2023,8.0,8.0,8.0,-
Box 4,1,13:00:03,27.10.2023,8.0,8.0,8.0,-
Box 5,0,-,-,-,-,-,-
FB2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,13:00:00,27.10.2023,4.0,4.0,4.0,-
Box 2,1,13:00:01,27.10.2023,4.0,4.0,4.0,-
Box 3,0,-,-,-,-,-,-
Box 4,0,-,-,-,-,-,-
Box 5,0,-,-,-,-,-,-
FK,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,13:00:00,27.10.2023,4.0,4.0,4.0,-
Box 2,1,13:00:01,27.10.2023,4.0,4.0,4.0,-
Box 3,0,-,-,-,-,-,-
Box 4,0,-,-,-,-,-,-
Box 5,0,-,-,-,-,-,-
