Lane,Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
FB1,32.0,32.0,100,100,0.0208333333333333,0.0833333333333333,0.0833333333333333,0.0416666666666666
FB2,16.0,16.0,100,100,0.0208333333333333,0.0833333333333333,0.0833333333333333,0.0625
FK1,8.0,16.0,50,100,0.0,0.0,0.0,0.0416666666666666
FK2,16.0,16.0,100,100,0.0,0.0,0.0,0.0833333333333333
FK3,8.0,16.0,50,100,0.0,0.0,0.0,0.0416666666666666
FK4,16.0,16.0,100,100,0.0,0.0,0.0,0.08319444444444445
FK5,12.0,16.0,75,100,0.0,0.0,0.0,0.0625
FK6,12.0,16.0,75,100,0.0,0.0,0.0,0.0625
FK7,16.0,16.0,100,100,0.0,0.0,0.0,0.0833333333333333
FK8,16.0,16.0,100,100,0.0,0.0,0.0,0.0833333333333333
