Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
8,8,100,88,0.270069444444444,0.381585648148148,0.159780092592593,0.924502314814815
FK7,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,0.4134375,1.36805555555556E-02,7,5,1,6.98611111111111E-02
Box 2,1,0.957071759259259,0.964918981481481,-,-,-,-
Box 3,1,2.15509259259259E-02,0.583009259259259,-,-,-,-
Box 4,1,0.630520833333333,0.530844907407407,-,-,-,-
Box 5,1,0.293425925925926,0.0621875,-,-,-,-
Box 6,1,0.374537037037037,0.964212962962963,-,-,-,-
Box 7,1,0.79599537037037,0.713576388888889,-,-,-,-
Box 8,2,0.224953703703704,0.743391203703704,-,-,-,-
