Lane,Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
FB1,16.0,24.0,67,100,0.0,0.0,0.0,0.0833333333333333
FB2,12.0,12.0,100,100,0.0,0.0,0.0,0.125
FK1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
FK2,0.0,0.0,0,0,0.0,0.0,0.0,0.0
FK3,0.0,0.0,0,0,0.0,0.0,0.0,0.0
FK4,0.0,0.0,0,0,0.0,0.0,0.0,0.0
FK5,0.0,0.0,0,0,0.0,0.0,0.0,0.0
FK6,0.0,0.0,0,0,0.0,0.0,0.0,0.0
FK7,0.0,0.0,0,0,0.0,0.0,0.0,0.0
FK8,0.0,0.0,0,0,0.0,0.0,0.0,0.0
LD1,16.0,24.0,67,100,0.0,0.0,0.0,0.0833333333333333
LD2,8.0,12.0,67,100,0.0,0.0,0.0,0.0833333333333333
LG1,16.0,24.0,67,100,0.0,0.0,0.0,0.0833333333333333
LG2,24.0,24.0,100,100,0.940474537037037,2.8214236111111113,2.8214236111111113,0.125
LG3,12.0,12.0,100,100,0.0,0.0,0.0,0.125
LG4,8.0,12.0,67,100,0.0,0.0,0.0,0.0833333333333333
LK1,16.0,24.0,67,100,0.0,0.0,0.0,0.0833333333333333
LK2,12.0,12.0,100,100,0.0,0.0,0.0,0.125
