Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
24.0,40.0,60,100,0.020833333333333332,0.10416666666666667,0.0625,0.0
LG1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,13:00:00,27.10.2023,8.0,8.0,8.0,-
Box 2,1,13:00:01,27.10.2023,8.0,8.0,8.0,-
Box 3,1,13:00:02,27.10.2023,8.0,8.0,8.0,-
Box 4,0,-,-,-,-,-,-
Box 5,0,-,-,-,-,-,-
Box 6,0,-,-,-,-,-,-
Box 7,0,-,-,-,-,-,-
Box 8,0,-,-,-,-,-,-
