Bestandsmenge,Kapazitaet,Lagernutzungsgrad,Bestandsgenauigkeit,Durchschnittliche Wartezeit,Lagerumschlagsrate,Reichweite,Wiederbeschaffungszeit
0,0,,,,0,0,0
LD1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,0,-,-,-,-,-,-
Box 2,0,-,-,-,-,-,-
Box 3,0,-,-,-,-,-,-
Box 4,0,-,-,-,-,-,-
Box 5,0,-,-,-,-,-,-
Box 6,0,-,-,-,-,-,-
Box 7,0,-,-,-,-,-,-
Box 8,0,-,-,-,-,-,-
LD2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,0.140833333333333,9.41087962962963E-02,7,7,2,2.49537037037037E-02
Box 2,1,5.84953703703704E-02,0.244768518518519,-,-,-,-
Box 3,1,1.27314814814815E-03,0.251736111111111,-,-,-,-
Box 4,2,0.288726851851852,7.40277777777778E-02,-,-,-,-
Box 5,1,6.96643518518519E-02,0.102615740740741,-,-,-,-
Box 6,1,0.299583333333333,0.246550925925926,-,-,-,-
Box 7,2,5.24305555555556E-03,0.296134259259259,-,-,-,-
Box 8,1,0.250763888888889,0.271377314814815,-,-,-,-
LK1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,6.36574074074074E-02,8.20949074074074E-02,1,3,3,3.90740740740741E-02
Box 2,0,0,0,-,-,-,-
Box 3,0,0,0,-,-,-,-
Box 4,0,0,0,-,-,-,-
Box 5,0,0,0,-,-,-,-
Box 6,0,0,0,-,-,-,-
Box 7,0,0,0,-,-,-,-
Box 8,0,0,0,-,-,-,-
LK2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,0.204386574074074,0.11568287037037,6,7,7,1.62037037037037E-02
Box 2,1,0.100428240740741,0.148090277777778,-,-,-,-
Box 3,1,7.57407407407407E-02,0.120289351851852,-,-,-,-
Box 4,1,0.111400462962963,7.14351851851852E-02,-,-,-,-
Box 5,1,1.15509259259259E-02,4.56018518518519E-03,-,-,-,-
Box 6,1,0.281354166666667,0.131631944444444,-,-,-,-
Box 7,1,5.02314814814815E-03,0.254467592592593,-,-,-,-
Box 8,1,0.297731481481481,0.165868055555556,-,-,-,-
LG1,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,0.17130787037037,0.292997685185185,8,8,8,0.114583333333333
Box 2,1,4.98611111111111E-02,6.12962962962963E-02,-,-,-,-
Box 3,1,0.272615740740741,0.239768518518519,-,-,-,-
Box 4,1,0.294965277777778,0.285474537037037,-,-,-,-
Box 5,1,0.195625,0.270497685185185,-,-,-,-
Box 6,1,6.06018518518519E-02,0.169861111111111,-,-,-,-
Box 7,0,0,0,-,-,-,-
Box 8,0,0,0,-,-,-,-
LG2,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,0.190092592592593,4.25462962962963E-02,7,5,5,4.96180555555556E-02
Box 2,1,0.167893518518519,0.257326388888889,-,-,-,-
Box 3,1,0.174525462962963,0.195509259259259,-,-,-,-
Box 4,1,6.70138888888889E-02,0.179016203703704,-,-,-,-
Box 5,1,0.137256944444444,0.24193287037037,-,-,-,-
Box 6,1,0.262800925925926,2.02662037037037E-02,-,-,-,-
Box 7,1,0.197766203703704,0.137349537037037,-,-,-,-
Box 8,1,0.133657407407407,4.88310185185185E-02,-,-,-,-
LG3,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,2,0.297511574074074,9.32291666666667E-02,3,3,6,0.161446759259259
Box 2,1,0.159675925925926,8.84259259259259E-03,-,-,-,-
Box 3,1,0.126527777777778,0.150833333333333,-,-,-,-
Box 4,1,1.21412037037037E-02,1.37962962962963E-02,-,-,-,-
Box 5,1,0.123645833333333,9.70949074074074E-02,-,-,-,-
Box 6,1,0.27681712962963,0.178969907407407,-,-,-,-
Box 7,1,0.121365740740741,0.217268518518518,-,-,-,-
Box 8,2,7.57986111111111E-02,5.13541666666667E-02,-,-,-,-
LG4,Besetzt,Time In,Waiting Time,Bestandsmenge,Kapazitaet,Losgroesse,Lead Time
Box 1,1,6.75925925925926E-02,0.283356481481481,2,6,7,0.208703703703704
Box 2,1,9.77893518518518E-02,0.199525462962963,-,-,-,-
Box 3,1,0.175625,0.25056712962963,-,-,-,-
Box 4,1,0.237546296296296,7.84837962962963E-02,-,-,-,-
Box 5,1,6.16319444444444E-02,0.217986111111111,-,-,-,-
Box 6,1,0.268912037037037,0.204108796296296,-,-,-,-
Box 7,1,0.143900462962963,0.187789351851852,-,-,-,-
Box 8,1,0.26744212962963,5.13773148148148E-02,-,-,-,-
