date,pick_time,put_time,origin_lane,target_lane,duration,variant,menge,exit_code
19.10.2023,12:08:20,12:08:26,,,00:00:06,FK2,4,0
20.10.2023,12:42:34,12:42:40,,,00:00:06,FK3,4,0
20.10.2023,13:18:06,13:18:11,,,00:00:05,FK3,4,0
20.10.2023,13:26:14,13:26:19,,,00:00:05,FK3,4,0
20.10.2023,14:05:50,14:06:03,,,00:00:13,FK3,4,0
20.10.2023,14:07:22,14:07:36,,,00:00:14,FK3,4,0
20.10.2023,14:08:55,14:08:59,,,00:00:04,FK3,4,0
20.10.2023,14:09:54,14:09:58,,,00:00:04,FK3,4,0
20.10.2023,14:11:34,14:11:38,,,00:00:04,FK3,4,0
20.10.2023,14:15:32,14:15:38,,,00:00:06,FK2,4,0
20.10.2023,14:16:25,14:16:29,,,00:00:04,FK3,4,0
20.10.2023,14:24:54,14:24:58,,,00:00:04,FK3,4,0
20.10.2023,14:29:02,14:29:06,,,00:00:04,FK3,4,0
