date,pick_time,put_time,origin_lane,target_lane,duration,variant,menge,exit_code
20.10.2023,12:40:03,12:40:13,,,00:00:10,FB1,4,0
20.10.2023,12:42:26,12:42:32,,,00:00:06,FB2,4,0
20.10.2023,12:45:24,12:46:01,,,00:00:37,FB1,4,2
20.10.2023,12:46:09,13:16:09,,,00:30:00,FB2,4,0
23.10.2023,14:26:32,14:26:34,,,00:00:02,FB1,4,0
23.10.2023,14:29:44,14:29:52,,,00:00:08,FB1,4,2
23.10.2023,12:46:09,13:16:09,,,00:30:00,FB1,4,0
23.10.2023,16:51:42,16:51:46,,,00:00:04,FB1,4,0
23.10.2023,16:52:21,16:52:22,,,00:00:01,FB1,4,0
27.10.2023,16:40:27,16:40:33,,,00:00:06,FB1,4,0
27.10.2023,16:41:41,16:41:48,,,00:00:07,FB1,4,0
27.10.2023,16:45:09,16:45:13,,,00:00:04,FB1,4,0
30.10.2023,11:26:17,11:26:18,,,00:00:01,FB1,1,0
30.10.2023,11:27:29,11:27:31,,,00:00:02,FB1,1,0
