Date,Time,Variant,Menge,OEE Gesamt,OEE Verfuegbarkeit,OEE Leistung,OEE Qualitaet
30.10.2023,15:24:21,FB1,1,0.8392370572207084,1.0,0.944141689373297,0.8888888888888888
30.10.2023,14:57:41,FB1,1,0.77,1.0,0.88,0.875
30.10.2023,14:35:00,FB1,1,0.693693694,1.0,0.809309309,0.857142857
30.10.2023,14:27:10,FB1,0,1.0,1.0,1.0,1.0
30.10.2023,13:23:58,FB1,1,1.0,1.0,1.0,1.0
30.10.2023,13:17:33,FB1,1,1.0,1.0,1.0,1.0
30.10.2023,13:16:25,FB1,1,1.0,1.0,1.0,1.0
30.10.2023,11:27:31,FB1,1,1.0,1.0,1.0,1.0
30.10.2023,11:26:18,FB1,1,1.0,1.0,1.0,1.0
27.10.2023,16:41:48,FB1,4,1.0,1.0,1.0,1.0
27.10.2023,16:40:33,FB1,4,1.0,1.0,1.0,1.0
23.10.2023,16:52:22,FB1,4,0.33995585,1.0,0.424944812,0.8
23.10.2023,16:51:46,FB1,4,0.254966887,1.0,0.33995585,0.75
23.10.2023,14:29:52,FB1,4,1.0,1.0,1.0,1.0
