date,pick_time,put_time,origin_lane,target_lane,duration,variant,menge,exit_code
20.10.2023,12:40:03,12:40:13,,,00:00:10,FS1,4,0
20.10.2023,12:42:26,12:42:32,,,00:00:06,FS2,4,0
23.10.2023,03:14:03,03:14:07,,,00:00:04,FS2,4,0
23.10.2023,03:15:22,03:15:27,,,00:00:05,FS2,4,0
23.10.2023,03:17:48,03:17:52,,,00:00:04,FS2,4,0
23.10.2023,03:19:15,03:19:23,,,00:00:08,FS1,4,0
23.10.2023,03:20:19,03:20:21,,,00:00:02,FS1,4,0
23.10.2023,03:21:55,03:22:03,,,00:00:08,FS1,4,0
23.10.2023,03:24:30,03:24:32,,,00:00:02,FS2,4,0
23.10.2023,03:25:20,03:25:22,,,00:00:02,FS1,4,0
23.10.2023,03:30:35,03:30:36,,,00:00:01,FS2,4,0
