date,pick_time,put_time,origin_lane,target_lane,duration,variant,menge,exit_code
13.10.2023,13:08:08,14:07:36,,,-1:00:32,FK7,4,0
16.10.2023,16:06:36,16:06:37,,,00:00:01,FK3,4,0
16.10.2023,16:11:00,16:11:02,,,00:00:02,FK3,4,0
16.10.2023,16:18:35,16:18:35,,,00:00:00,FK2,4,0
16.10.2023,16:21:56,16:22:01,,,00:00:05,FK5,4,0
16.10.2023,16:24:53,16:24:56,,,00:00:03,FK3,4,0
16.10.2023,16:34:37,16:34:41,,,00:00:04,FK3,4,0
17.10.2023,12:16:34,12:16:35,,,00:00:01,FK1,4,0
17.10.2023,12:19:32,12:19:44,,,00:00:12,FK1,4,0
17.10.2023,14:13:54,14:14:05,,,00:00:11,FK3,4,0
17.10.2023,14:18:20,14:18:29,,,00:00:09,FK3,4,0
17.10.2023,15:09:40,15:09:49,,,00:00:09,FK3,4,0
17.10.2023,15:11:20,15:11:36,,,00:00:16,FK3,4,0
17.10.2023,15:12:19,15:12:31,,,00:00:12,FK1,4,0
19.10.2023,12:09:50,12:09:52,,,00:00:02,FK1,4,0
20.10.2023,01:14:14,01:14:18,,,00:00:04,FK3,4,0
20.10.2023,01:16:34,01:16:38,,,00:00:04,FK3,4,0
20.10.2023,01:17:53,01:17:55,,,00:00:02,FK3,4,0
20.10.2023,01:19:51,01:19:55,,,00:00:04,FK3,4,0
20.10.2023,01:20:54,01:20:57,,,00:00:03,FK3,4,0
20.10.2023,01:22:24,01:22:27,,,00:00:03,FK3,4,0
20.10.2023,01:44:29,01:44:34,,,00:00:05,FK3,4,0
20.10.2023,01:46:58,01:47:04,,,00:00:06,FK3,4,0
20.10.2023,01:48:24,01:48:28,,,00:00:04,FK3,4,0
